Enrollment Month,Plan Type,County,Plan Name,Count of Enrollees,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2007-10,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12736,None,None
2007-10,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-10,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,932,None,None
2007-10,Prepaid Health Plan,Marin,Kaiser/Marin,648,None,None
2007-10,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1522,None,None
2007-10,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,870,None,None
2007-10,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1782,None,None
2007-10,SCAN,Los Angeles,SCAN Hlth Plan / LA,2608,None,None
2007-10,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,613,None,None
2007-10,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,763,None,None
2007-10,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,294,None,None
2007-10,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,356,None,None
2007-10,Special Project,Alameda,Cntr Elders Indep/Alameda,402,None,None
2007-10,Special Project,Contra Costa,Center for Elders Independence,20,None,None
2007-10,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,440,None,None
2007-10,Special Project,Sacramento,Sutter SeniorCare/Sac,172,None,None
2007-10,Special Project,San Francisco,Family Mosaic Prj / SF,108,None,None
2007-10,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-10,Two-Plan,Alameda,Alameda Alliance for Hlth,76404,None,None
2007-10,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27672,None,None
2007-10,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10623,None,None
2007-10,Two-Plan,Contra Costa,Contra Costa Hlth Plan,45918,None,None
2007-10,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,146199,None,None
2007-10,Two-Plan,Fresno,Health Net /Fresno,31450,None,None
2007-10,Two-Plan,Kern,Health Net/Kern,23610,None,None
2007-10,Two-Plan,Kern,Kern Hlth Systems,91989,None,None
2007-10,Two-Plan,Los Angeles,Health Net / LA,420570,None,None
2007-10,Two-Plan,Los Angeles,LA CARE,736658,None,None
2007-10,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,130991,None,None
2007-10,Two-Plan,Riverside,Molina Healthcare of California/Riverside,32678,None,None
2007-10,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,142994,None,None
2007-10,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,48238,None,None
2007-10,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,12004,None,None
2007-10,Two-Plan,San Francisco,San Francisco Hlth Plan,31975,None,None
2007-10,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27391,None,None
2007-10,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,59370,None,None
2007-10,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,31766,None,None
2007-10,Two-Plan,Santa Clara,Santa Clara Family Hlth,76050,None,None
2007-10,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,46068,None,None
2007-10,Two-Plan,Stanislaus,Health Net/Stanislaus,14126,None,None
2007-10,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,73688,None,None
2007-10,Two-Plan,Tulare,Health Net/Tulare,16192,None,None
2007-11,COHS,Monterey,Central California Alliance for Health/Monterey,56064,None,None
2007-11,COHS,Napa,Partnership HP of CA/Napa,10940,None,None
2007-11,COHS,Orange,CalOPTIMA / Orange,300138,None,None
2007-11,COHS,San Mateo,Hlth Plan of San Mateo,51074,None,None
2007-11,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54866,None,None
2007-11,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,31344,None,None
2007-11,COHS,Solano,Partnership HP of CA/Solano,53542,None,None
2007-11,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23829,None,None
2007-11,Dental,Los Angeles,Access Dental Plan/LA,69336,None,None
2007-11,Dental,Los Angeles,American Health Guard - Dental/LA,18037,None,None
2007-11,Dental,Los Angeles,Care1st Health Plan Dental,17450,None,None
2007-11,Dental,Los Angeles,Community Dental Svcs Inc (LA),5466,None,None
2007-11,Dental,Los Angeles,Health Net of California,31102,None,None
2007-11,Dental,Los Angeles,Liberty Dental Plan of CA (LA),6105,None,None
2007-11,Dental,Los Angeles,Safeguard Dental Inc.,25162,None,None
2007-11,Dental,Los Angeles,Western Dental Svcs/LA,51928,None,None
2007-11,Dental,Riverside,Safeguard Dental Inc.,109,None,None
2007-11,Dental,Riverside,Western Dental Svcs (Riverside),218,None,None
2007-11,Dental,Sacramento,Access Dental Plan/Sacto,51941,None,None
2007-11,Dental,Sacramento,Community Dental Svcs./Sacto,13307,None,None
2007-11,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,26526,None,None
2007-11,Dental,Sacramento,Western Dental Svcs/Sacto,77217,None,None
2007-11,Dental,San Bernardino,Care1st Health Plan Dental,174,None,None
2007-11,Dental,San Bernardino,Safeguard Dental Inc.,638,None,None
2007-11,Dental,San Bernardino,Western Dental Svcs (San Bernardino),444,None,None
2007-11,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,85462,None,None
2007-11,Geographic Managed Care,Sacramento,Care 1st Healthplan,4388,None,None
2007-11,Geographic Managed Care,Sacramento,Health Net/Sac,27542,None,None
2007-11,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,20560,None,None
2007-11,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,16102,None,None
2007-11,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,28475,None,None
2007-11,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),4095,None,None
2007-11,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,71044,None,None
2007-11,Geographic Managed Care,San Diego ,Health Net/San Diego,17560,None,None
2007-11,Geographic Managed Care,San Diego ,Kaiser/San Diego,10001,None,None
2007-11,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,41932,None,None
2007-11,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12761,None,None
2007-11,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,86,None,None
2007-11,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,922,None,None
2007-11,Prepaid Health Plan,Marin,Kaiser/Marin,656,None,None
2007-11,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1536,None,None
2007-11,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,873,None,None
2007-11,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1802,None,None
2007-11,SCAN,Los Angeles,SCAN Hlth Plan / LA,2566,None,None
2007-11,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,615,None,None
2007-11,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,754,None,None
2007-11,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,294,None,None
2007-11,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,349,None,None
2007-11,Special Project,Alameda,Cntr Elders Indep/Alameda,401,None,None
2007-11,Special Project,Contra Costa,Center for Elders Independence,21,None,None
2007-11,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,457,None,None
2007-11,Special Project,Sacramento,Sutter SeniorCare/Sac,177,None,None
2007-11,Special Project,San Francisco,Family Mosaic Prj / SF,101,None,None
2007-11,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-11,Two-Plan,Alameda,Alameda Alliance for Hlth,76529,None,None
2007-11,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27553,None,None
2007-11,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10463,None,None
2007-11,Two-Plan,Contra Costa,Contra Costa Hlth Plan,46015,None,None
2007-11,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,144209,None,None
2007-11,Two-Plan,Fresno,Health Net /Fresno,33413,None,None
2007-11,Two-Plan,Kern,Health Net/Kern,23968,None,None
2007-11,Two-Plan,Kern,Kern Hlth Systems,92238,None,None
2007-11,Two-Plan,Los Angeles,Health Net / LA,418750,None,None
2007-11,Two-Plan,Los Angeles,LA CARE,735909,None,None
2007-11,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,132933,None,None
2007-11,Two-Plan,Riverside,Molina Healthcare of California/Riverside,32854,None,None
2007-11,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,144580,None,None
2007-11,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,48092,None,None
2007-11,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,11958,None,None
2007-11,Two-Plan,San Francisco,San Francisco Hlth Plan,31877,None,None
2007-11,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27679,None,None
2007-11,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,59698,None,None
2007-11,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,31802,None,None
2007-11,Two-Plan,Santa Clara,Santa Clara Family Hlth,76645,None,None
2007-11,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,46213,None,None
2007-11,Two-Plan,Stanislaus,Health Net/Stanislaus,14224,None,None
2007-11,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,73252,None,None
2007-11,Two-Plan,Tulare,Health Net/Tulare,16585,None,None
2007-12,COHS,Monterey,Central California Alliance for Health/Monterey,55686,None,None
2007-12,COHS,Napa,Partnership HP of CA/Napa,10995,None,None
2007-12,COHS,Orange,CalOPTIMA / Orange,300870,None,None
2007-12,COHS,San Mateo,Hlth Plan of San Mateo,51044,None,None
2007-12,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54850,None,None
2007-12,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,31540,None,None
2007-12,COHS,Solano,Partnership HP of CA/Solano,53671,None,None
2007-12,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23782,None,None
2007-12,Dental,Los Angeles,Access Dental Plan/LA,70780,None,None
2007-12,Dental,Los Angeles,American Health Guard - Dental/LA,18067,None,None
2007-12,Dental,Los Angeles,Care1st Health Plan Dental,17677,None,None
2007-12,Dental,Los Angeles,Community Dental Svcs Inc (LA),5506,None,None
2007-12,Dental,Los Angeles,Health Net of California,31413,None,None
2007-12,Dental,Los Angeles,Liberty Dental Plan of CA (LA),6157,None,None
2007-12,Dental,Los Angeles,Safeguard Dental Inc.,24879,None,None
2007-12,Dental,Los Angeles,Western Dental Svcs/LA,52325,None,None
2007-12,Dental,Riverside,Safeguard Dental Inc.,107,None,None
2007-12,Dental,Riverside,Western Dental Svcs (Riverside),214,None,None
2007-12,Dental,Sacramento,Access Dental Plan/Sacto,51967,None,None
2007-12,Dental,Sacramento,Community Dental Svcs./Sacto,13315,None,None
2007-12,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,26849,None,None
2007-12,Dental,Sacramento,Western Dental Svcs/Sacto,77654,None,None
2007-12,Dental,San Bernardino,Care1st Health Plan Dental,173,None,None
2007-12,Dental,San Bernardino,Safeguard Dental Inc.,630,None,None
2007-12,Dental,San Bernardino,Western Dental Svcs (San Bernardino),439,None,None
2007-12,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,85929,None,None
2007-12,Geographic Managed Care,Sacramento,Care 1st Healthplan,4118,None,None
2007-12,Geographic Managed Care,Sacramento,Health Net/Sac,27805,None,None
2007-12,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,20599,None,None
2007-12,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,16321,None,None
2007-12,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,28716,None,None
2007-12,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),4176,None,None
2007-12,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,70979,None,None
2007-12,Geographic Managed Care,San Diego ,Health Net/San Diego,17802,None,None
2007-12,Geographic Managed Care,San Diego ,Kaiser/San Diego,10027,None,None
2007-12,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,41575,None,None
2007-12,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12770,None,None
2007-12,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-12,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,929,None,None
2007-12,Prepaid Health Plan,Marin,Kaiser/Marin,660,None,None
2007-12,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1548,None,None
2007-12,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,859,None,None
2007-12,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1805,None,None
2007-12,SCAN,Los Angeles,SCAN Hlth Plan / LA,2584,None,None
2007-12,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,612,None,None
2007-12,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,744,None,None
2007-12,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,299,None,None
2007-12,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,349,None,None
2007-12,Special Project,Alameda,Cntr Elders Indep/Alameda,402,None,None
2007-12,Special Project,Contra Costa,Center for Elders Independence,22,None,None
2007-12,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,465,None,None
2007-12,Special Project,Sacramento,Sutter SeniorCare/Sac,173,None,None
2007-12,Special Project,San Francisco,Family Mosaic Prj / SF,107,None,None
2007-12,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-12,Two-Plan,Alameda,Alameda Alliance for Hlth,77236,None,None
2007-12,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27489,None,None
2007-12,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10464,None,None
2007-12,Two-Plan,Contra Costa,Contra Costa Hlth Plan,46501,None,None
2007-12,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,142708,None,None
2007-12,Two-Plan,Fresno,Health Net /Fresno,35130,None,None
2007-12,Two-Plan,Kern,Health Net/Kern,24017,None,None
2007-12,Two-Plan,Kern,Kern Hlth Systems,91806,None,None
2007-12,Two-Plan,Los Angeles,Health Net / LA,420733,None,None
2007-12,Two-Plan,Los Angeles,LA CARE,739198,None,None
2007-12,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,134578,None,None
2007-12,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33029,None,None
2007-12,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,146584,None,None
2007-12,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,48525,None,None
2007-12,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,11847,None,None
2007-12,Two-Plan,San Francisco,San Francisco Hlth Plan,31810,None,None
2007-12,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27595,None,None
2007-12,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,59882,None,None
2007-12,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,31760,None,None
2007-12,Two-Plan,Santa Clara,Santa Clara Family Hlth,77653,None,None
2007-12,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,46309,None,None
2007-12,Two-Plan,Stanislaus,Health Net/Stanislaus,14350,None,None
2007-12,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,73159,None,None
2007-12,Two-Plan,Tulare,Health Net/Tulare,16922,None,None
2008-01,COHS,Monterey,Central California Alliance for Health/Monterey,56344,None,None
2008-01,COHS,Napa,Partnership HP of CA/Napa,11161,None,None
2008-01,COHS,Orange,CalOPTIMA / Orange,302192,None,None
2008-01,COHS,San Mateo,Hlth Plan of San Mateo,51286,None,None
2008-01,COHS,Santa Barbara,Santa Barbara Hlth Authrty,55192,None,None
2008-01,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,31594,None,None
2008-01,COHS,Solano,Partnership HP of CA/Solano,54000,None,None
2008-01,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23994,None,None
2008-01,Dental,Los Angeles,Access Dental Plan/LA,72948,None,None
2008-01,Dental,Los Angeles,American Health Guard - Dental/LA,17827,None,None
2008-01,Dental,Los Angeles,Care1st Health Plan Dental,17639,None,None
2008-01,Dental,Los Angeles,Community Dental Svcs Inc (LA),5433,None,None
2008-01,Dental,Los Angeles,Health Net of California,31119,None,None
2008-01,Dental,Los Angeles,Liberty Dental Plan of CA (LA),6235,None,None
2008-01,Dental,Los Angeles,Safeguard Dental Inc.,24463,None,None
2008-01,Dental,Los Angeles,Western Dental Svcs/LA,51954,None,None
2008-01,Dental,Riverside,Safeguard Dental Inc.,105,None,None
2008-01,Dental,Riverside,Western Dental Svcs (Riverside),212,None,None
2008-01,Dental,Sacramento,Access Dental Plan/Sacto,52213,None,None
2008-01,Dental,Sacramento,Community Dental Svcs./Sacto,13368,None,None
2008-01,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,26983,None,None
2008-01,Dental,Sacramento,Western Dental Svcs/Sacto,77767,None,None
2008-01,Dental,San Bernardino,Care1st Health Plan Dental,171,None,None
2008-01,Dental,San Bernardino,Safeguard Dental Inc.,623,None,None
2008-01,Dental,San Bernardino,Western Dental Svcs (San Bernardino),430,None,None
2008-01,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,86138,None,None
2008-01,Geographic Managed Care,Sacramento,Health Net/Sac,28075,None,None
2008-01,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,20711,None,None
2008-01,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,20379,None,None
2008-01,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),8633,None,None
2008-01,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,79124,None,None
2008-01,Geographic Managed Care,San Diego ,Health Net/San Diego,23644,None,None
2008-01,Geographic Managed Care,San Diego ,Kaiser/San Diego,10150,None,None
2008-01,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,48937,None,None
2008-01,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12778,None,None
2008-01,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,87,None,None
2008-01,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,923,None,None
2008-01,Prepaid Health Plan,Marin,Kaiser/Marin,660,None,None
2008-01,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1526,None,None
2008-01,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,857,None,None
2008-01,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1801,None,None
2008-01,SCAN,Los Angeles,SCAN Hlth Plan / LA,2587,None,None
2008-01,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,599,None,None
2008-01,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,740,None,None
2008-01,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,296,None,None
2008-01,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,346,None,None
2008-01,Special Project,Alameda,Cntr Elders Indep/Alameda,401,None,None
2008-01,Special Project,Contra Costa,Center for Elders Independence,24,None,None
2008-01,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,477,None,None
2008-01,Special Project,Sacramento,Sutter SeniorCare/Sac,177,None,None
2008-01,Special Project,San Francisco,Family Mosaic Prj / SF,99,None,None
2008-01,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2008-01,Two-Plan,Alameda,Alameda Alliance for Hlth,77431,None,None
2008-01,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27252,None,None
2008-01,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10550,None,None
2008-01,Two-Plan,Contra Costa,Contra Costa Hlth Plan,46809,None,None
2008-01,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,140781,None,None
2008-01,Two-Plan,Fresno,Health Net /Fresno,37000,None,None
2008-01,Two-Plan,Kern,Health Net/Kern,24441,None,None
2008-01,Two-Plan,Kern,Kern Hlth Systems,92456,None,None
2008-01,Two-Plan,Los Angeles,Health Net / LA,419776,None,None
2008-01,Two-Plan,Los Angeles,LA CARE,737480,None,None
2008-01,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,134816,None,None
2008-01,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33048,None,None
2008-01,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,147799,None,None
2008-01,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,48891,None,None
2008-01,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,11811,None,None
2008-01,Two-Plan,San Francisco,San Francisco Hlth Plan,31768,None,None
2008-01,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27644,None,None
2008-01,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,60400,None,None
2008-01,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,31589,None,None
2008-01,Two-Plan,Santa Clara,Santa Clara Family Hlth,78406,None,None
2008-01,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,46086,None,None
2008-01,Two-Plan,Stanislaus,Health Net/Stanislaus,14446,None,None
2008-01,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,72673,None,None
2008-01,Two-Plan,Tulare,Health Net/Tulare,17335,None,None
2008-02,COHS,Monterey,Central California Alliance for Health/Monterey,57468,None,None
2008-02,COHS,Napa,Partnership HP of CA/Napa,11245,None,None
2008-02,COHS,Orange,CalOPTIMA / Orange,303408,None,None
2008-02,COHS,San Mateo,Hlth Plan of San Mateo,51392,None,None
2008-02,COHS,Santa Barbara,Santa Barbara Hlth Authrty,55498,None,None
2008-02,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,31805,None,None
2008-02,COHS,Solano,Partnership HP of CA/Solano,53945,None,None
2008-02,COHS,Yolo,Partnership HealthPlan of CA/Yolo,24067,None,None
2008-02,Dental,Los Angeles,Access Dental Plan/LA,73590,None,None
2008-02,Dental,Los Angeles,American Health Guard - Dental/LA,17612,None,None
2008-02,Dental,Los Angeles,Care1st Health Plan Dental,17671,None,None
2008-02,Dental,Los Angeles,Community Dental Svcs Inc (LA),5425,None,None
2008-02,Dental,Los Angeles,Health Net of California,31135,None,None
2008-02,Dental,Los Angeles,Liberty Dental Plan of CA (LA),6205,None,None
2008-02,Dental,Los Angeles,Safeguard Dental Inc.,24077,None,None
2008-02,Dental,Los Angeles,Western Dental Svcs/LA,51846,None,None
2008-02,Dental,Riverside,Safeguard Dental Inc.,101,None,None
2008-02,Dental,Riverside,Western Dental Svcs (Riverside),210,None,None
2008-02,Dental,Sacramento,Access Dental Plan/Sacto,52230,None,None
2008-02,Dental,Sacramento,Community Dental Svcs./Sacto,13451,None,None
2008-02,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,27102,None,None
2008-02,Dental,Sacramento,Western Dental Svcs/Sacto,78168,None,None
2008-02,Dental,San Bernardino,Care1st Health Plan Dental,164,None,None
2008-02,Dental,San Bernardino,Safeguard Dental Inc.,610,None,None
2008-02,Dental,San Bernardino,Western Dental Svcs (San Bernardino),418,None,None
2008-02,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,86379,None,None
2008-02,Geographic Managed Care,Sacramento,Health Net/Sac,28215,None,None
2008-02,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,20902,None,None
2008-02,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,20508,None,None
2008-02,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),8109,None,None
2008-02,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,79695,None,None
2008-02,Geographic Managed Care,San Diego ,Health Net/San Diego,24179,None,None
2008-02,Geographic Managed Care,San Diego ,Kaiser/San Diego,10347,None,None
2008-02,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,49408,None,None
2008-02,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12690,None,None
2008-02,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,87,None,None
2008-02,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,915,None,None
2008-02,Prepaid Health Plan,Marin,Kaiser/Marin,668,None,None
2008-02,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1524,None,None
2008-02,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,857,None,None
2008-02,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1787,None,None
2008-02,SCAN,Los Angeles,SCAN Hlth Plan / LA,2628,None,None
2008-02,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,594,None,None
2008-02,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,754,None,None
2008-02,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,287,None,None
2008-02,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,357,None,None
2008-02,Special Project,Alameda,Cntr Elders Indep/Alameda,400,None,None
2008-02,Special Project,Contra Costa,Center for Elders Independence,24,None,None
2008-02,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,483,None,None
2008-02,Special Project,Sacramento,Sutter SeniorCare/Sac,179,None,None
2008-02,Special Project,San Francisco,Family Mosaic Prj / SF,97,None,None
2008-02,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2008-02,Two-Plan,Alameda,Alameda Alliance for Hlth,77543,None,None
2008-02,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27043,None,None
2008-02,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10602,None,None
2008-02,Two-Plan,Contra Costa,Contra Costa Hlth Plan,46686,None,None
2008-02,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,138872,None,None
2008-02,Two-Plan,Fresno,Health Net /Fresno,38368,None,None
2008-02,Two-Plan,Kern,Health Net/Kern,24704,None,None
2008-02,Two-Plan,Kern,Kern Hlth Systems,93146,None,None
2008-02,Two-Plan,Los Angeles,Health Net / LA,418579,None,None
2008-02,Two-Plan,Los Angeles,LA CARE,735037,None,None
2008-02,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,135619,None,None
2008-02,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33375,None,None
2008-02,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,149166,None,None
2008-02,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,49161,None,None
2008-02,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,11833,None,None
2008-02,Two-Plan,San Francisco,San Francisco Hlth Plan,31743,None,None
2008-02,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27630,None,None
2008-02,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,60536,None,None
2008-02,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,31415,None,None
2008-02,Two-Plan,Santa Clara,Santa Clara Family Hlth,78678,None,None
2008-02,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,46037,None,None
2008-02,Two-Plan,Stanislaus,Health Net/Stanislaus,14545,None,None
