HPSA Discipline Class,HPSA Geography Identification Number,HPSA Component Type Description,HPSA Name,HPSA ID,County Equivalent Name,Designation Type,HPSA Population Type,HPSA Status,HPSA Score,HPSA Designation Date,HPSA Designation Last Update Date,Data Warehouse Record Create Date
Primary Care,06037541001,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603004,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603005,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603006,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603101,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603102,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603200,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603301,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603302,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603400,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037603702,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037604001,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037604002,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037604100,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037620521,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037620601,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037620701,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650001,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650003,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650004,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650101,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650102,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650200,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037650300,Census Tract,LI-MSSA 78.2iiii/Gardena Southeast,1061563425,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,5/15/2014,12/22/2017,1/8/2021
Primary Care,06037530301,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530302,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530400,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530500,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530601,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530602,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530802,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037530902,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531000,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531102,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531201,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531202,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531301,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531302,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531502,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531503,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531504,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531602,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531603,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531604,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531701,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037531702,Census Tract,Low Income - MSSA 78.2d/City Terrace East,1061952432,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,11,5/29/2012,10/28/2017,1/8/2021
Primary Care,06037900102,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037900103,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037900104,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037900201,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037900300,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037980003,Census Tract,MSSA 77.2/Lake Los Angeles,1062218238,Los Angeles,Geographic HPSA,Geographic Population,Designated,18,11/22/2013,4/26/2017,1/8/2021
Primary Care,06037238000,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037238400,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600501,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600502,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600601,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600602,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600702,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600703,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037600704,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601501,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601502,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601600,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601700,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601801,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601802,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037601900,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037602002,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037602003,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037602004,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037602104,Census Tract,MSSA 78.2r/Inglewood East,1062321680,Los Angeles,High Needs Geographic HPSA,Geographic Population,Designated,13,8/7/2013,10/28/2017,1/8/2021
Primary Care,06037530202,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037530203,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037530204,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037531800,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037531901,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037531902,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532001,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532002,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532101,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532102,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532200,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532302,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532303,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037532304,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037533701,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037533702,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037533703,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037533901,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037533902,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534001,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534002,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534101,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534102,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534201,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534202,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037534203,Census Tract,LI-MSSA 78.2c/Bell NE,1062637154,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,16,12/22/2017,12/22/2017,1/8/2021
Primary Care,06037190700,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037190801,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037190802,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037190901,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037190902,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191110,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191120,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191201,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191203,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191204,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191301,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191302,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191410,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191420,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191500,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191610,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191620,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191710,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191720,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191810,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191820,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191901,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037191902,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192420,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192510,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192520,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192610,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192620,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037192700,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037195802,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037195901,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037195902,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037195903,Census Tract,Low Income - MSSA 78.2g/Hollywood E,1063604390,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,13,6/2/2011,10/28/2017,1/8/2021
Primary Care,06037237600,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037237710,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037237720,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037238310,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037238320,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037240300,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037240401,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037240402,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037240500,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037241110,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037241120,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037241201,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037241202,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
Primary Care,06037600100,Census Tract,LI-MSSA 78.2s/South Central Southwest,1063645969,Los Angeles,HPSA Population,Low Income Population HPSA,Designated,18,5/23/2014,12/27/2017,1/8/2021
